Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area
R0088008,SFR,6834,,BUGLE,CT,,UNINCORPORATED,Multi Sty,Good,2000,2334.0,1313,1313.0,0.0,Attached,483,9262.0,3486746,2015-11-20,699500,905035.222337588,401
R0038828,SFR,7692,,CANTERBURY,CT,,UNINCORPORATED,Ranch,Avg +,1990,1050.0,1050,1050.0,0.0,Attached,475,15395.0,3678447,2018-09-07,611600,657060.395967294,401
R0038793,SFR,4493,,CANTERBURY,DR,,UNINCORPORATED,Ranch,Avg,1971,850.0,850,0.0,850.0,Attached,475,8834.0,3623492,2017-10-31,350000,395257.141730182,401
R0038816,SFR,4523,,CANTERBURY,DR,,UNINCORPORATED,Split level,Avg ++,2010,1185.0,447,447.0,0.0,Attached,480,9968.0,3684472,2018-11-01,584250,623406.07380438,401
R0038192,SFR,4958,,CARTER,CT,,UNINCORPORATED,Multi Sty,Good +,1985,2812.0,0,0.0,0.0,Attached,984,19935.0,3462940,2015-07-27,710000,954179.839634531,401
R0071484,SFR,4978,,CARTER,CT,,UNINCORPORATED,Ranch,Good,1990,2165.0,0,0.0,0.0,Attached,697,12133.0,3584639,2017-04-04,702000,815198.669055359,401
R0061499,SFR,4249,,CARTER,TRL,,UNINCORPORATED,Multi Sty,Good +,1985,2248.0,1013,0.0,1013.0,Attached,483,11636.0,3650671,2018-04-11,614000,674318.980368036,401
R0061499,SFR,4249,,CARTER,TRL,,UNINCORPORATED,Multi Sty,Good +,1985,2248.0,1013,0.0,1013.0,Attached,483,11636.0,3651783,2018-04-12,639500,702324.084601562,401
R0061497,SFR,4279,,CARTER,TRL,,UNINCORPORATED,Split level,Avg ++,1985,1661.0,714,714.0,0.0,Attached,483,11810.0,3499699,2016-02-04,487000,612401.336969116,401
R0061494,SFR,4311,,CARTER,TRL,,UNINCORPORATED,Split level,Good,1990,1500.0,1452,696.0,756.0,Attached,660,11790.0,3789091,2020-06-04,735000,735000.0,401
R0038133,SFR,4377,,CARTER,TRL,,UNINCORPORATED,Multi Sty,Good,1980,3060.0,0,0.0,0.0,Attached,528,13334.0,3503260,2016-02-18,655730,824578.909015931,401
R0038437,SFR,4398,,CARTER,TRL,,UNINCORPORATED,Multi Sty,Good ++,2000,3729.0,1122,842.0,280.0,Attached,583,14625.0,3599741,2017-06-23,899000,1034303.0818884,401
R0038482,SFR,4519,,CARTER,TRL,,UNINCORPORATED,Split level,Good +,1985,1809.0,918,918.0,0.0,Attached,484,15164.0,3540891,2016-08-29,774000,932868.01267318,401
R0038291,SFR,4545,,CARTER,TRL,,UNINCORPORATED,Split level,Good,1987,1473.0,696,696.0,0.0,Attached,528,14348.0,3547539,2016-09-29,735000,881754.061364464,401
R0038864,SFR,4595,,CARTER,TRL,,UNINCORPORATED,Multi Sty,Good,1983,2210.0,920,0.0,920.0,Attached,457,20238.0,3763631,2020-01-29,740000,752740.849879019,401
R0038343,SFR,4608,,CARTER,TRL,,UNINCORPORATED,Split level,Good +,2000,1552.0,740,740.0,0.0,Attached,480,12950.0,3557578,2016-11-11,630940,749911.421694825,401
R0038052,SFR,4647,,CARTER,TRL,,UNINCORPORATED,Multi Sty,Good ++,2001,2170.0,826,810.0,16.0,Attached,441,14057.0,3641502,2018-02-16,919100,1018821.2669983,401
R0038814,SFR,4686,,CARTER,TRL,,UNINCORPORATED,Multi Sty,Good,2005,2728.0,784,0.0,784.0,Attached,594,12378.0,3803501,2020-07-30,920000,920000.0,401
R0037965,SFR,4733,,CARTER,TRL,,UNINCORPORATED,Ranch,V Good,1970,2467.0,980,980.0,0.0,Attached,441,13622.0,3588193,2017-04-21,675000,783844.874091692,401
R0037965,SFR,4733,,CARTER,TRL,,UNINCORPORATED,Ranch,V Good,2007,2467.0,980,980.0,0.0,Attached,441,13622.0,3687360,2018-11-21,895000,954982.346692204,401
R0038477,SFR,4747,,CARTER,TRL,,UNINCORPORATED,Split level,Good +,1970,1633.0,744,384.0,360.0,Attached,528,13255.0,3623931,2017-10-19,620000,700169.793922036,401
R0038170,SFR,6938,,CARTER,TRL,,UNINCORPORATED,Split level,Good,1972,1520.0,690,690.0,0.0,Attached,460,21552.0,3525593,2016-06-16,673000,818714.586600465,401
R0038986,SFR,7087,,CARTER,TRL,,UNINCORPORATED,Split level,Good,2000,1834.0,918,918.0,0.0,Attached,484,12633.0,3569130,2016-11-22,670000,796336.660436068,401
R0038000,SFR,7137,,CARTER,TRL,,UNINCORPORATED,Ranch,V Good,1995,2744.0,805,725.0,80.0,Attached,420,13792.0,3542018,2016-09-06,757200,908386.63301384,401
R0038000,SFR,7137,,CARTER,TRL,,UNINCORPORATED,Ranch,V Good,2017,2942.0,782,650.0,132.0,Attached,430,13792.0,3676624,2018-09-14,1845000,1982139.35670317,401
R0071508,SFR,7103,,CEDARWOOD,CIR,,UNINCORPORATED,Ranch,Good,1998,1956.0,1005,600.0,405.0,Attached,440,5164.0,3684466,2018-10-31,714000,764457.371878184,401
R0071541,SFR,7104,,CEDARWOOD,CIR,,UNINCORPORATED,Multi Sty,Good,1985,2684.0,687,0.0,687.0,Attached,440,4772.0,3788012,2020-03-18,607000,613249.143425425,401
R0068914,SFR,7111,,CEDARWOOD,CIR,,UNINCORPORATED,Ranch,Good,1990,2048.0,1147,1147.0,0.0,Attached,420,4881.0,3696488,2019-01-31,675400,715760.715337,401
